CBSA,CITY,STATE,CITYSTATE,NETMIG2020,NETMIG2021,TOTALNETMIG,2020rank,2020census,2010census,Change,2020 land area,2020 population density,Location,Unemployment Rate (August 2021),Change in Unemployment (August 2021 vs August 2019),Change in Unemployment (August 2021 vs January 2020),Change in Unemployment (August 2021 vs August 2020),Adjusted Unemployment Rate* (August 2021),Effective Real-Estate Tax Rate,Annual Taxes on $217.5K Home*,State Median Home Value,Annual Taxes on Home Priced at State Median Value,ZHVI,ZORI,nielsen_hh_rank,hotness_rank,hotness_rank_mm,hotness_rank_yy,hotness_score,supply_score,demand_score,median_days_on_market,median_days_on_market_mm,median_dom_mm_day,median_days_on_market_yy,median_dom_yy_day,median_dom_vs_us,ldp_unique_viewers_per_property_mm,ldp_unique_viewers_per_property_yy,ldp_unique_viewers_per_property_vs_us,median_listing_price,median_listing_price_mm,median_listing_price_yy,median_listing_price_vs_us,quality_flag
38060,Phoenix,AZ,"Phoenix, AZ",20370,70097,90467,5,"1,608,139","1,445,632",+11.24%,518.0 sq mi,"3,105/sq mi",33°34′N 112°05′W﻿ / ﻿33.57°N 112.09°W﻿ / 33.57; -112.09﻿ (6 Phoenix),5.20%,20.33%,24.89%,-27.59%,5.50%,0.66%,"$1,446","$225,500","$1,499",442976,1884,13,140,-20,-71,50.668896,82.2742474916388,19.063545150501675,32.5,-0.1875,-7.5,-0.08450704225352113,-3,-14.5,0.12126464176630504,-0.31915512428927906,0.6557,499900,0.00989898989898985,0.19450418160095584,1.2738,0
19100,Dallas,TX,"Dallas, TX",15416,62921,78337,9,"1,304,379","1,197,816",+8.90%,339.6 sq mi,"3,841/sq mi",32°47′N 96°46′W﻿ / ﻿32.79°N 96.76°W﻿ / 32.79; -96.76﻿ (9 Dallas),5.20%,47.62%,56.79%,-26.03%,5.50%,1.80%,"$3,907","$172,500","$3,099",361270,1699,4,72,-13,23,67.892977,77.59197324414716,58.19397993311036,34,-0.2093023255813954,-9,-0.2093023255813954,-9,-13,0.14849044541874878,0.1352692675324687,1.0759,409000,0.02249999999999996,0.14088062595015272,1.0422,0
45300,Tampa,FL,"Tampa, FL",10620,45625,56245,52,"384,959","335,709",+14.67%,114.0 sq mi,"3,377/sq mi",27°58′N 82°28′W﻿ / ﻿27.97°N 82.47°W﻿ / 27.97; -82.47﻿ (Tampa),4.70%,30.57%,36.13%,-43.58%,4.97%,0.89%,"$1,934","$215,300","$1,914",341997,1999,17,35,-14,24,76.923077,75.91973244147158,77.92642140468227,34.5,-0.21590909090909097,-9.5,-0.26595744680851063,-12.5,-12.5,0.0925979849346794,0.06259879116402645,1.3354,393900,0.02338269680436466,0.3154115879111705,1.0037,1
12420,Austin,TX,"Austin, TX",12543,42541,55084,11,"961,855","790,390",+21.69%,319.9 sq mi,"3,007/sq mi",30°18′N 97°45′W﻿ / ﻿30.30°N 97.75°W﻿ / 30.30; -97.75﻿ (11 Austin),3.50%,37.17%,40.48%,-36.14%,3.70%,1.80%,"$3,907","$172,500","$3,099",573123,1798,34,56,33,-27,71.404682,92.64214046822742,50.16722408026756,25.5,-0.44565217391304346,-20.5,-0.3855421686746988,-16,-21.5,0.12517437298330591,-0.31945768923417417,1.0001,575000,0.05504587155963292,0.3142857142857143,1.4652,1
26420,Houston,TX,"Houston, TX",5476,31921,37397,4,"2,304,580","2,099,451",+9.77%,640.4 sq mi,"3,599/sq mi",29°47′N 95°23′W﻿ / ﻿29.78°N 95.39°W﻿ / 29.78; -95.39﻿ (4 Houston),6.00%,51.56%,51.93%,-29.14%,6.35%,1.80%,"$3,907","$172,500","$3,099",287957,1518,5,243,3,-13,28.762542,57.19063545150501,0.33444816053511706,42.5,-0.2410714285714286,-13.5,-0.1747572815533981,-9,-4.5,0.02070652713979215,-0.02260333101265643,0.2336,362494,0.01352979826928191,0.08349797793513258,0.9237,0
40140,Riverside,CA,"Riverside, CA",3114,33986,37100,61,"314,998","303,871",+3.66%,81.2 sq mi,"3,879/sq mi",33°56′N 117°23′W﻿ / ﻿33.93°N 117.39°W﻿ / 33.93; -117.39﻿ (Riverside),6.80%,80.35%,72.23%,-35.43%,7.19%,0.76%,"$1,644","$505,000","$3,818",555853,2537,16,160,-17,-79,47.826087,84.2809364548495,11.37123745819398,31,-0.2954545454545454,-13,-0.07462686567164178,-2.5,-16,-0.00980349241488309,-0.35733847488215753,0.5612,549900,0.01084558823529402,0.11090909090909085,1.4012,0
35840,North Port,FL,"North Port, FL",5174,29691,34865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89%,"$1,934","$215,300","$1,914",432359,2380,62,12,-2,118,85.785953,77.59197324414716,93.9799331103679,34,-0.29166666666666663,-14,-0.4380165289256198,-26.5,-13,0.02485575289230812,0.43508180433983235,1.774,547500,0.04285714285714293,0.39508217607338514,1.3951,1
16740,Charlotte,NC,"Charlotte, NC",7764,26652,34416,16,"874,579","731,424",+19.57%,308.3 sq mi,"2,837/sq mi",35°12′N 80°50′W﻿ / ﻿35.20°N 80.83°W﻿ / 35.20; -80.83﻿ (17 Charlotte),4.60%,18.92%,34.46%,-42.39%,4.87%,0.84%,"$1,833","$172,500","$1,454",353106,1719,24,33,9,4,77.090301,84.2809364548495,69.89966555183946,31,-0.3111111111111111,-14,-0.11428571428571432,-4,-16,0.13639637043582353,0.04826360784281625,1.2349,399088.5,-0.00215401925240654,0.0954489933162237,1.0169,0
41700,San Antonio,TX,"San Antonio, TX",6496,26622,33118,7,"1,434,625","1,327,407",+8.08%,498.8 sq mi,"2,876/sq mi",29°28′N 98°31′W﻿ / ﻿29.47°N 98.52°W﻿ / 29.47; -98.52﻿ (7 San Antonio),4.90%,50.49%,55.61%,-27.85%,5.18%,1.80%,"$3,907","$172,500","$3,099",315208,1396,27,237,-21,-37,30.434783,44.81605351170568,16.05351170568562,47,-0.1607142857142857,-9,-0.07843137254901966,-4,0,0.10772928321900932,-0.03399594348234547,0.6298,346672.5,-0.00950714285714282,0.14602479338842975,0.8834,0
15980,Cape Coral,FL,"Cape Coral, FL",4598,26813,31411,130,"194,016","154,305",+25.74%,106.0 sq mi,"1,830/sq mi",26°38′N 81°59′W﻿ / ﻿26.64°N 81.99°W﻿ / 26.64; -81.99﻿ (Cape Coral),4.50%,28.28%,21.64%,-34.08%,4.76%,0.89%,"$1,934","$215,300","$1,914",NA,NA,73,49,-20,111,73.244147,77.59197324414716,68.89632107023411,34,-0.2444444444444445,-11,-0.3982300884955752,-22.5,-13,0.04950266606980258,0.34138017010903976,1.2263,478500,0.08774721527619911,0.4502197302621609,1.2193,1
